variable_name,units,value,data_reference
E_inlet_arteriole,J_per_m3,300000,10
l_inlet_arteriole,metre,0.0003,300uM
r_0_inlet_arteriole,metre,0.000006,10uM
u_0_inlet_arteriole,J_per_m3,2666,estimated at 20mmHg (11)
theta_inlet_arteriole,dimensionless,0,tutorial parameter.csv
v_in_inlet_arteriole,m3_per_s,3.77E-12,at 50mmHg inlet pressure calcueated with radius of 6um and length of 300um
u_ext_inlet_arteriole,J_per_m3,133,1mmHg
u_in_inlet_arteriole,J_per_m3,6666,estimated at 50mmHg (11)
beta_g,dimensionless,0,tutorial parameter.csv
rho,Js2_per_m5,1050,tutorial parameter.csv
mu,Js_per_m3,0.0025,Slightly lower than the tutorial viscosity
g,m_per_s2,9.81,EMPTY_MUST_BE_FILLED
a_vessel,dimensionless,0.2802,Avolio_1980
b_vessel,per_m,-505.3,Avolio_1980
c_vessel,dimensionless,0.1324,Avolio_1980
d_vessel,per_m,-11.14,Avolio_1980
q_C_init_B1V0,m3,0,stressed_volume_at steady_state_initial_value_dont_matter
E_B1V0,J_per_m3,25000,10
l_B1V0,metre,0.000123,microscope
r_B1V0,metre,0.0000035,1-5
u_ext_B1V0,J_per_m3,-16,"7,8"
mu_plasma,Js_per_m3,0.001,1 centipoise in (9)
q_C_init_PB1V1,m3,0,tutorial parameter.csv
E_PB1V1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB1V1,metre,0.000015,"microscope, all pericytes are 15um"
r_PB1V1,metre,0.00000263,0.75 of r_B1V0
u_ext_PB1V1,J_per_m3,-16,"7,8"
q_C_init_B2V0,m3,0,EMPTY_MUST_BE_FILLED
E_B2V0,J_per_m3,25000,10
l_B2V0,metre,0.000097,EMPTY_MUST_BE_FILLED
r_B2V0,metre,0.0000035,1-5
r_0_B2V0,metre,0.0000035,1-6
u_ext_B2V0,J_per_m3,-16,"7,8"
E_B1V1,J_per_m3,25000,10
l_B1V1,metre,0.000078,microscope
r_0_B1V1,metre,0.00000325,1-6
theta_B1V1,dimensionless,0,EMPTY_MUST_BE_FILLED
u_ext_B1V1,J_per_m3,-16,"7,8"
E_B1V2,J_per_m3,25000,10
l_B1V2,metre,0.0002,microscope
r_0_B1V2,metre,0.000003,1-6
u_ext_B1V2,J_per_m3,-16,"7,8"
theta_B1V2,dimensionless,0,tutorial parameter.csv
q_C_init_B1V9,m3,0,tutorial parameter.csv
E_B1V9,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B1V9,metre,0.0000353,EMPTY_MUST_BE_FILLED
r_B1V9,metre,0.000003,EMPTY_MUST_BE_FILLED
u_ext_B1V9,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PB1V3,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PB1V3,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB1V3,metre,0.000015,microsope
r_PB1V3,metre,0.00000225,0.75 of r_B1V2
q_C_init_B1V3,m3,0,EMPTY_MUST_BE_FILLED
E_B1V3,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B1V3,metre,0.000051,EMPTY_MUST_BE_FILLED
r_B1V3,metre,0.000003,EMPTY_MUST_BE_FILLED
r_0_B1V3,metre,0.000003,EMPTY_MUST_BE_FILLED
u_ext_B1V3,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_PB1V4,m3,0,EMPTY_MUST_BE_FILLED
E_PB1V4,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB1V4,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB1V4,metre,0.00000225,EMPTY_MUST_BE_FILLED
u_ext_PB1V4,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PB1V6,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PB1V6,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB1V6,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB1V6,metre,0.00000225,EMPTY_MUST_BE_FILLED
E_B1V4,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B1V4,metre,0.000025,EMPTY_MUST_BE_FILLED
r_0_B1V4,metre,0.00000275,EMPTY_MUST_BE_FILLED
theta_B1V4,dimensionless,0,EMPTY_MUST_BE_FILLED
u_ext_B1V4,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PTC1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PTC1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PTC1,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PTC1,metre,0.00000206,0.75 of r_B1V4
q_C_init_TC1,m3,0,EMPTY_MUST_BE_FILLED
E_TC1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC1,metre,0.0000509,microscope
r_TC1,metre,0.00000275,EMPTY_MUST_BE_FILLED
u_ext_TC1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC1,J_per_m3,3333,25mmHg
q_C_init_B1V6,m3,0,tutorial parameter.csv
E_B1V6,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B1V6,metre,0.0000183,microscope
r_B1V6,metre,0.00000275,EMPTY_MUST_BE_FILLED
r_0_B1V6,metre,0.00000275,EMPTY_MUST_BE_FILLED
u_ext_B1V6,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_TC2,m3,0,EMPTY_MUST_BE_FILLED
E_TC2,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC2,metre,0.0000538,EMPTY_MUST_BE_FILLED
r_TC2,metre,0.0000025,EMPTY_MUST_BE_FILLED
u_ext_TC2,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC2,J_per_m3,3333,25mmHg
q_C_init_TC3,m3,0,EMPTY_MUST_BE_FILLED
E_TC3,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC3,metre,0.000172,EMPTY_MUST_BE_FILLED
r_TC3,metre,0.0000025,EMPTY_MUST_BE_FILLED
u_ext_TC3,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC3,J_per_m3,3333,25mmHg
q_C_init_PB0V1,m3,0,EMPTY_MUST_BE_FILLED
E_PB0V1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB0V1,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB0V1,metre,0.00000263,0.75 of r_B2V0
u_ext_PB0V1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PB2V1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PB2V1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB2V1,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB2V1,metre,0.00000263,0.75 of r_B2V0
q_C_init_B0V1,m3,0,EMPTY_MUST_BE_FILLED
E_B0V1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B0V1,metre,0.0000696,EMPTY_MUST_BE_FILLED
r_B0V1,metre,0.00000325,EMPTY_MUST_BE_FILLED
u_ext_B0V1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_B2V1,m3,0,EMPTY_MUST_BE_FILLED
E_B2V1,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B2V1,metre,0.0000665,EMPTY_MUST_BE_FILLED
r_B2V1,metre,0.00000325,EMPTY_MUST_BE_FILLED
r_0_B2V1,metre,0.00000325,EMPTY_MUST_BE_FILLED
u_ext_B2V1,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_PB2V3,m3,0,EMPTY_MUST_BE_FILLED
E_PB2V3,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB2V3,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB2V3,metre,0.00000244,EMPTY_MUST_BE_FILLED
u_ext_PB2V3,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PB2V2,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PB2V2,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PB2V2,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PB2V2,metre,0.00000244,EMPTY_MUST_BE_FILLED
q_C_init_B2V3,m3,0,EMPTY_MUST_BE_FILLED
E_B2V3,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B2V3,metre,0.0000217,EMPTY_MUST_BE_FILLED
r_B2V3,metre,0.000003,EMPTY_MUST_BE_FILLED
u_ext_B2V3,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_ext_PTC9,J_per_m3,-16,EMPTY_MUST_BE_FILLED
theta_PTC9,dimensionless,0,EMPTY_MUST_BE_FILLED
E_PTC9,J_per_m3,25000,EMPTY_MUST_BE_FILLED
r_0_PTC9,metre,0.00000225,EMPTY_MUST_BE_FILLED
l_PTC9,metre,0.000015,EMPTY_MUST_BE_FILLED
q_C_init_TC9,m3,0,EMPTY_MUST_BE_FILLED
E_TC9,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC9,metre,0.000366,EMPTY_MUST_BE_FILLED
r_TC9,metre,0.00000275,EMPTY_MUST_BE_FILLED
u_ext_TC9,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC9,J_per_m3,3333,25mmHg
q_C_init_B2V2,m3,0,EMPTY_MUST_BE_FILLED
E_B2V2,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_B2V2,metre,0.0002,EMPTY_MUST_BE_FILLED
r_B2V2,metre,0.000003,EMPTY_MUST_BE_FILLED
r_0_B2V2,metre,0.000003,EMPTY_MUST_BE_FILLED
u_ext_B2V2,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_PTC4,m3,0,EMPTY_MUST_BE_FILLED
E_PTC4,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PTC4,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PTC4,metre,0.00000225,EMPTY_MUST_BE_FILLED
u_ext_PTC4,J_per_m3,-16,EMPTY_MUST_BE_FILLED
q_C_init_TC4,m3,0,EMPTY_MUST_BE_FILLED
E_TC4,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC4,metre,0.000025,EMPTY_MUST_BE_FILLED
r_TC4,metre,0.00000275,EMPTY_MUST_BE_FILLED
u_ext_TC4,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC4,J_per_m3,3333,25mmHg
u_ext_PTC5,J_per_m3,-16,EMPTY_MUST_BE_FILLED
E_PTC5,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_PTC5,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PTC5,metre,0.00000225,EMPTY_MUST_BE_FILLED
q_C_init_TC5,m3,0,EMPTY_MUST_BE_FILLED
E_TC5,J_per_m3,25000,EMPTY_MUST_BE_FILLED
l_TC5,metre,0.000234,EMPTY_MUST_BE_FILLED
r_TC5,metre,0.00000275,EMPTY_MUST_BE_FILLED
u_ext_TC5,J_per_m3,-16,EMPTY_MUST_BE_FILLED
u_out_TC5,J_per_m3,3333,25mmHg
